"Date","Price","Open","High","Low","Vol.","Change %"
"02/12/2024","59.56","60.21","61.14","59.28","58.13M","-1.18%"
"02/09/2024","60.27","59.03","60.61","58.71","55.11M","2.94%"
"02/08/2024","58.55","58.31","58.89","58.02","49.46M","0.41%"
"02/07/2024","58.31","57.69","58.66","57.17","65.91M","2.98%"
"02/06/2024","56.62","57.38","57.64","55.64","70.06M","-0.58%"
"02/05/2024","56.95","57.19","57.42","55.57","69.97M","-0.51%"
"02/02/2024","57.24","55.18","57.68","54.79","99.25M","5.03%"
"02/01/2024","54.50","53.29","54.64","52.91","81.13M","3.53%"
"01/31/2024","52.64","54.19","54.98","52.58","101.73M","-5.88%"
"01/30/2024","55.93","56.69","56.92","55.60","59.78M","-2.00%"
"01/29/2024","57.07","55.61","57.20","55.34","57.99M","2.94%"
"01/26/2024","55.44","55.68","56.39","55.18","64.19M","-1.84%"
"01/25/2024","56.48","57.26","57.53","55.52","75.70M","0.28%"
"01/24/2024","56.32","56.95","57.90","56.12","89.86M","1.64%"
"01/23/2024","55.41","55.01","55.48","54.28","56.09M","1.19%"
"01/22/2024","54.76","55.41","55.92","54.51","74.83M","0.40%"
"01/19/2024","54.54","52.32","54.62","52.10","93.18M","5.78%"
"01/18/2024","51.56","50.59","51.72","50.11","91.07M","4.29%"
"01/17/2024","49.44","49.07","49.59","47.87","83.28M","-1.73%"
"01/16/2024","50.31","49.88","50.91","49.33","72.94M","-0.06%"
"01/12/2024","50.34","50.67","50.98","49.84","64.11M","0.12%"
"01/11/2024","50.28","50.45","50.97","48.40","95.11M","0.48%"
"01/10/2024","50.04","49.17","50.41","48.84","73.81M","1.98%"
"01/09/2024","49.07","47.66","49.41","47.61","74.22M","0.66%"
"01/08/2024","48.75","46.39","48.90","46.33","67.69M","6.02%"
"01/05/2024","45.98","45.86","46.92","45.47","85.24M","0.37%"
"01/04/2024","45.81","45.87","46.97","45.73","71.87M","-1.67%"
"01/03/2024","46.59","47.17","47.54","46.43","83.91M","-3.20%"
"01/02/2024","48.13","49.35","49.43","47.26","88.14M","-5.07%"
